isbn13,Title,Authors,Average Rating,Language Code,Num Pages,Ratings Count,Text Reviews Count
761568107371,Aliens: Original Sin,['Michael Jan Friedman'],3.67,eng,256,222,15
785342303476,The Zen of CSS Design: Visual Enlightenment for the Web,"['Dave Shea', 'Molly E. Holzschlag']",4.0,eng,296,767,28
785342314526,Algorithms in C  Parts 1-4: Fundamentals  Data Structures  Sorting  Searching,['Robert Sedgewick'],4.14,eng,720,133,3
798499100096,Healing Therapies for Overcoming Insomnia,"['Peter  Van Houten', 'Rich McCord']",3.6,eng,175,8,1
978039392918,Introduction to Sociology,"['Anthony Giddens', 'Richard P. Appelbaum', 'Mitchell Duneier']",3.96,eng,683,154,7
9780001000391,The Prophet,"['Kahlil Gibran', 'جبران خليل جبران']",4.23,eng,127,167189,4996
9780001713192,Sam And The Firefly (Beginner Books),['P.D. Eastman'],4.17,eng,64,3,0
9780002005883,Gilead,['Marilynne Robinson'],3.85,eng,247,361,79
9780002259835,Miss Wyoming,['Douglas Coupland'],3.48,eng,311,160,13
9780002261982,Spider's Web,"['Agatha Christie', 'Charles Osborne']",3.83,eng,241,5164,195
9780002310017,At Bertram's Hotel (Miss Marple  #11),['Agatha Christie'],3.7,eng,223,16913,647
9780002310192,After the Funeral,['Agatha Christie'],3.86,eng,251,47,4
9780002313124,Poirot's Early Cases,['Agatha Christie'],3.92,eng,256,85,7
9780002315968,Miss Marple's Final Cases (Miss Marple #14),['Agatha Christie'],3.81,eng,160,4006,149
9780002317856,Sleeping Murder (Miss Marple #13),['Agatha Christie'],3.94,eng,242,18550,811
9780005069899,Rebecca at the Well (Great Bible Stories),"['Maxine Nodel', 'Norman Nodel']",4.33,eng,27,9,1
9780006139560,Welsh Tales Of Terror,"['R. Chetwynd', 'Hayes']",3.22,eng,188,1,0
9780006163831,The One Tree (The Second Chronicles of Thomas Covenant  #2),['Stephen R. Donaldson'],3.97,eng,479,172,3
9780006176954,The Great And Secret Show (Book of the Art #1),['Clive Barker'],4.05,eng,698,272,18
9780006178736,Rage of Angels,['Sidney Sheldon'],3.93,eng,512,29532,828
9780006279945,Poems,"['Emily Brontë', 'Robert Van De Weyer']",4.13,eng,144,55,2
9780006280545,Mere Christianity,['C.S. Lewis'],4.32,eng,227,644,64
9780006280606,The Screwtape Letters,['C.S. Lewis'],4.22,eng,209,663,90
9780006280897,The Four Loves,['C.S. Lewis'],4.15,eng,170,33684,1051
9780006280934,The Problem of Pain,['C.S. Lewis'],4.09,eng,176,37569,1202
9780006280941,Miracles,['C.S. Lewis'],4.09,eng,294,12226,429
9780006281146,Divine Conspiracy: Rediscovering Our Hidden Life in God,['Dallas Willard'],4.22,eng,384,47,2
9780006353287,An Autobiography,"['Agatha Christie', 'Robert Welch Herrick']",4.27,eng,560,3975,276
9780006380832,Empires of the Monsoon: A History of the Indian Ocean and Its Invaders,['Richard Seymour Hall'],4.41,eng,608,65,11
9780006392231,The Corrections,['Jonathan Franzen'],3.79,eng,567,71,8
9780006393832,Gilead,['Marilynne Robinson'],3.85,eng,247,155,27
9780006470229,The Gap Into Madness: Chaos and Order (Gap  #4),['Stephen R. Donaldson'],4.15,eng,743,103,1
9780006472612,Master of the Game,['Sidney Sheldon'],4.11,eng,489,43540,1321
9780006478966,Night Prey (Lucas Davenport  #6),['John Sandford'],4.16,eng,336,13400,267
9780006479673,If Tomorrow Comes (Tracy Whitney  #1),['Sidney Sheldon'],4.04,eng,501,49170,1548
9780006479758,Executive Orders (Jack Ryan Universe  #9),['Tom Clancy'],4.06,eng,1273,38091,419
9780006480099,Assassin's Apprentice (Farseer Trilogy  #1),['Robin Hobb'],4.15,eng,460,133972,3844
9780006482079,Warhost of Vastmark (Wars of Light & Shadow  #3; Arc 2 - The Ships of Merior  #2),['Janny Wurts'],4.03,eng,522,2966,32
9780006482642,Sacrament,['Clive Barker'],3.74,eng,594,3822,97
9780006483014,The Once and Future King (The Once and Future King  #1-5),"['T.H. White', 'Sylvia Townsend Warner']",4.04,eng,823,2805,153
9780006483564,Krondor: Tear of the Gods (The Riftwar Legacy  #3),['Raymond E. Feist'],3.86,eng,372,266,9
9780006483892,Murder In LaMut (Legends of the Riftwar  #2),"['Raymond E. Feist', 'Joel Rosenberg']",3.7,eng,337,5083,62
9780006483908,Jimmy the Hand (Legends of the Riftwar  #3),"['Raymond E. Feist', 'Steve Stirling']",3.95,eng,368,5579,69
9780006486145,Well of Darkness (Sovereign Stone  #1),"['Margaret Weis', 'Tracy Hickman']",3.66,eng,599,68,3
9780006490456,Witness for the Prosecution and Selected Plays,['Agatha Christie'],4.05,eng,352,3908,67
9780006496434,The Little House,['Philippa Gregory'],3.66,eng,368,1832,234
9780006496878,Mystical Paths (Starbridge  #5),['Susan Howatch'],4.23,eng,576,1023,36
9780006496892,Glittering Images (Starbridge  #1),['Susan Howatch'],4.07,eng,512,2045,209
9780006496908,Scandalous Risks,['Susan Howatch'],4.19,eng,480,1092,40
9780006496922,Glamorous Powers (Starbridge  #2),['Susan Howatch'],4.2,eng,512,1441,66
9780006498520,Hide and Seek,['James Patterson'],4.11,eng,368,57226,405
9780006498858,Ship of Magic (Liveship Traders  #1),['Robin Hobb'],4.15,eng,880,44280,1448
9780006498865,The Mad Ship (Liveship Traders  #2),['Robin Hobb'],4.24,eng,906,36101,820
9780006499169,Post Captain (Aubrey & Maturin  #2),"[""Patrick O'Brian""]",4.29,eng,474,7815,383
9780006499268,The Reverse of the Medal (Aubrey & Maturin #11),"[""Patrick O'Brian""]",4.41,eng,261,177,11
9780006499619,Miss Marple Omnibus Vol. 3 (Murder at the Vicarage / Nemesis / Sleeping Murder / At Bertram's Hotel),['Agatha Christie'],4.33,eng,688,130,4
9780006499626,Miss Marple: The Complete Short Stories (Miss Marple #15),['Agatha Christie'],4.2,eng,359,6235,257
9780006499954,Mistaken Identity (Rosato & Associates  #4),['Lisa Scottoline'],3.87,eng,504,4847,261
9780006511489,The Years of Rice and Salt,['Kim Stanley Robinson'],3.73,eng,772,194,30
9780006511779,Zelda's Cut,['Philippa Gregory'],2.93,eng,432,65,11
9780006512134,Man and Boy,['Tony Parsons'],3.56,eng,344,944,98
9780006512677,Spares,['Michael Marshall Smith'],4.13,eng,317,2481,161
9780006513087,Gravity,['Tess Gerritsen'],4.04,eng,342,8024,591
9780006513209,Girl With a Pearl Earring,['Tracy Chevalier'],3.87,eng,248,1854,197
9780006514640,The Wise Woman,['Philippa Gregory'],3.31,eng,640,6583,520
9780006514855,Girls' Night In,"['Jessica Adams', 'Chris Manby', 'Fiona Walker']",3.26,eng,586,140,11
9780006531203,In the Heart of the Sea: The Epic True Story That Inspired Moby-Dick,['Nathaniel Philbrick'],4.16,eng,302,278,34
9780006540809,She Came to Stay,['Simone de Beauvoir'],3.9,eng,416,1942,84
9780006543541,The Bookshop,['Penelope Fitzgerald'],3.32,eng,156,454,76
9780006545866,The White Album,['Joan Didion'],4.17,eng,224,91,8
9780006548591,Microserfs,['Douglas Coupland'],3.88,eng,371,369,22
9780006550433,The Bonesetter's Daughter,['Amy Tan'],3.98,eng,352,414,47
9780006550471,The Hottest State,['Ethan Hawke'],3.35,eng,197,152,21
9780006551393,The Lexus And The Olive Tree,['Thomas L. Friedman'],3.59,eng,352,87,8
9780006551805,The Namesake,['Jhumpa Lahiri'],3.98,eng,291,1532,202
9780006551812,'Tis A Memoir (Frank McCourt  #2),['Frank McCourt'],3.68,eng,495,44179,1611
9780006646006,Ocean Star Express,"['Mark Haddon', 'Peter   Sutton']",3.5,eng,32,1,0
9780006754893,A Small Pinch of Weather,['Joan Aiken'],4.27,eng,239,116,11
9780006755289,Black Maria,['Diana Wynne Jones'],3.71,eng,240,1480,61
9780006861355,Image-Music-Text,"['Roland Barthes', 'Stephen Heath']",4.1,eng,220,2974,39
9780006863434,Courtesans and Fishcakes: The Consuming Passions of Classical Athens,['James Davidson'],3.93,eng,372,37,4
9780006906018,The Princess of the Chalet School,"['Elinor M. Brent', 'Dyer']",4.1,eng,159,446,20
9780007102228,Grand Conspiracy (Wars of Light & Shadow #5; Arc 3 - Alliance of Light  #2),['Janny Wurts'],4.11,eng,614,1371,20
9780007103676,Koko,['Peter Straub'],3.56,eng,634,7586,183
9780007104840,The One Minute Minute Sales Person,['Spencer Johnson'],3.78,eng,109,60,5
9780007105045,Tree and Leaf: Includes Mythopoeia and The Homecoming of Beorhtnoth,['J.R.R. Tolkien'],4.09,eng,176,2245,95
9780007109661,Dreamland (Dreamland  #1),"['Dale Brown', 'Jim DeFelice']",3.9,eng,375,1275,25
9780007111343,Folly (Folly Island  #1),['Laurie R. King'],4.02,eng,523,2811,298
9780007111503,Partners in Crime (Tommy and Tuppence #2),['Agatha Christie'],3.77,eng,347,9506,473
9780007113804,Murder in Mesopotamia (Hercule Poirot  #14),['Agatha Christie'],3.89,eng,264,25692,874
9780007115228,Slouching Towards Bethlehem,['Joan Didion'],4.22,eng,207,136,21
9780007116263,The Lord of the Rings: The Return of the King - Visual Companion,['Jude Fisher'],4.59,eng,72,22,3
9780007117536,All Families Are Psychotic,['Douglas Coupland'],3.69,eng,279,350,32
9780007119301,Peril at End House (Hercule Poirot  #8),['Agatha Christie'],3.93,eng,287,25055,1098
9780007119332,Death in the Clouds (Hercule Poirot  #12),['Agatha Christie'],3.8,eng,333,21123,773
9780007119356,Appointment with Death (Hercule Poirot  #19),['Agatha Christie'],3.86,eng,303,24859,890
9780007120680,Hallowe'en Party (Hercule Poirot  #39),['Agatha Christie'],3.66,eng,336,18820,1059
9780007120697,Hercule Poirot's Christmas (Hercule Poirot  #20),['Agatha Christie'],3.93,eng,335,23113,1211
9780007120796,Dumb Witness (Hercule Poirot  #16),['Agatha Christie'],3.83,eng,411,13973,634
9780007120819,The Big Four (Hercule Poirot  #5),['Agatha Christie'],3.59,eng,272,22155,1244
9780007120840,The Moving Finger (Miss Marple #4),['Agatha Christie'],3.85,eng,299,18561,973
9780007120864,The Thirteen Problems (Miss Marple  #2),['Agatha Christie'],3.89,eng,315,12840,578
9780007120871,They Do It With Mirrors (Miss Marple #6),['Agatha Christie'],3.75,eng,284,415,46
9780007120963,A Murder Is Announced (Miss Marple  #5),['Agatha Christie'],3.98,eng,382,680,87
9780007120987,The Mirror Crack'd from Side to Side (Miss Marple  #9),['Agatha Christie'],3.91,eng,351,23249,708
9780007121007,Mrs. McGinty's Dead (Hercule Poirot  #30),['Agatha Christie'],3.83,eng,328,525,62
9780007121014,Taken at the Flood (Hercule Poirot  #28),['Agatha Christie'],3.71,eng,352,8852,457
9780007121021,The Hollow (Hercule Poirot  #26),['Agatha Christie'],3.79,eng,384,13022,606
9780007121076,Dead Man's Folly (Hercule Poirot  #33),['Agatha Christie'],3.78,eng,288,553,62
9780007121106,Third Girl (Hercule Poirot  #38),['Agatha Christie'],3.62,eng,365,13705,528
9780007122585,The Secret of Chimneys (Superintendent Battle  #1),['Agatha Christie'],3.86,eng,400,11110,526
9780007124015,The Lord of the Rings (The Lord of the Rings  #1-3),['J.R.R. Tolkien'],4.49,eng,1546,187,9
9780007126903,The Metaphysical Club,['Louis Menand'],4.07,eng,560,3311,334
9780007127740,The Illustrated Man,['Ray Bradbury'],4.14,eng,186,56781,1946
9780007127771,At the Mountains of Madness and Other Novels of Terror,"['H.P. Lovecraft', 'August Derleth', 'E. Hoffmann Price']",4.45,eng,552,27,5
9780007129652,Wilkins’ Tooth,['Diana Wynne Jones'],3.59,eng,207,69,9
9780007130313,Cut,['Patricia McCormick'],3.76,eng,173,107,11
9780007135639,The Lord of the Rings: The Art of The Fellowship of the Ring,['Gary Russell'],4.59,eng,192,29,1
9780007135653,The Lord Of The Rings: The Art Of The Return Of The King,['Gary Russell'],4.54,eng,224,28,1
9780007136582,The Lord of the Rings (The Lord of the Rings  #1-3),['J.R.R. Tolkien'],4.49,eng,1200,680,47
9780007136599,The Fellowship of the Ring (The Lord of the Rings  #1),"['J.R.R. Tolkien', 'Alan  Lee']",4.35,eng,410,56,1
9780007136841,The Sittaford Mystery,['Agatha Christie'],3.7,eng,400,8329,488
9780007137275,The Annotated Hobbit,"['J.R.R. Tolkien', 'Douglas A. Anderson']",4.26,eng,411,116,17
9780007137336,Lirael (Abhorsen  #2),['Garth Nix'],4.3,eng,527,1339,122
9780007137350,Abhorsen (Abhorsen  #3),['Garth Nix'],4.27,eng,396,1830,156
9780007137435,The History of Middle-Earth Index (The History of Middle-Earth  #13),"['J.R.R. Tolkien', 'Christopher Tolkien']",4.25,eng,484,49,2
9780007144082,The Lord of the Rings / The Hobbit,['J.R.R. Tolkien'],4.59,eng,1600,140,5
9780007144358,Complete Works of Oscar Wilde,"['Oscar Wilde', 'Merlin Holland']",4.45,eng,1270,11732,179
9780007145591,Naked Empire (Sword of Truth  #8),['Terry Goodkind'],3.82,eng,685,164,6
9780007145614,Chainfire (Sword of Truth  #9),['Terry Goodkind'],3.96,eng,665,58,3
9780007148974,The Witch of Blackbird Pond,"['Elizabeth George Speare', 'Tim Stevens']",3.98,eng,286,232,25
9780007149117,Roverandom,"['J.R.R. Tolkien', 'Christina Scull', 'Wayne G. Hammond']",3.87,eng,116,8255,384
9780007149124,Tales from the Perilous Realm,['J.R.R. Tolkien'],4.08,eng,178,2964,147
9780007149612,Breaking Open the Head: A Psychedelic Journey from Cynicism to Shamanism,['Daniel Pinchbeck'],4.06,eng,336,46,2
9780007149827,The Yiddish Policemen's Union,['Michael Chabon'],3.7,eng,414,51219,5552
9780007150304,Beware  Princess Elizabeth (Young Royals  #2),['Carolyn Meyer'],3.88,eng,242,78,11
9780007151240,The Family Way,['Tony Parsons'],3.51,eng,400,2095,92
9780007151523,That Old Ace in the Hole,['Annie Proulx'],3.75,eng,384,3880,375
9780007151677,Endless Night,['Agatha Christie'],3.77,eng,303,12740,1159
9780007152537,The Solace Of Leaving Early,['Haven Kimmel'],3.79,eng,315,85,14
9780007152599,Men are from Mars  Women are from Venus,['John Gray'],3.54,eng,307,1057,121
9780007153589,How to Be Alone,['Jonathan Franzen'],3.6,eng,306,327,34
9780007154692,The Ogre Downstairs,['Diana Wynne Jones'],3.88,eng,234,1767,81
9780007154845,The Mysterious Mr. Quin (Harley Quin  #1),['Agatha Christie'],3.72,eng,396,7514,348
9780007154883,The Listerdale Mystery,['Agatha Christie'],3.55,eng,317,178,32
9780007155026,Harriet The Spy,['Louise Fitzhugh'],3.95,eng,288,247,15
9780007157150,Out of the Silent Planet (The Space Trilogy  #1),['C.S. Lewis'],3.93,eng,224,56212,2345
9780007158058,The Real Trial of Oscar Wilde,['Merlin Holland'],4.04,eng,384,183,15
9780007158515,I Can Read With My Eyes Shut!,['Dr. Seuss'],4.2,eng,48,16561,423
9780007158522,Oh  The Places You’ll Go!,['Dr. Seuss'],4.35,eng,48,926,72
9780007162994,If I Die in a Combat Zone,"[""Tim O'Brien""]",3.95,eng,208,11,0
9780007163106,My Invented Country,['Isabel Allende'],3.84,eng,198,90,13
9780007165162,Are You Afraid of the Dark?,['Sidney Sheldon'],3.66,eng,401,23314,665
9780007169924,And to Think That I Saw It on Mulberry Street,['Dr. Seuss'],3.99,eng,64,19197,466
9780007169979,Ten Apples Up On Top!,"['Theo LeSieg', 'Dr. Seuss', 'Roy McKie']",4.12,eng,62,30632,455
9780007170784,The Tattooed Girl,['Joyce Carol Oates'],3.31,eng,320,2525,229
9780007171682,Ella Enchanted,['Gail Carson Levine'],3.98,eng,274,500,73
9780007171996,The Return of the King (The Lord of the Rings  #3),['J.R.R. Tolkien'],4.52,eng,554,253,5
9780007173020,The Silmarillion,"['J.R.R. Tolkien', 'Ted Nasmith']",3.91,eng,386,49,3
9780007173136,I Wish That I Had Duck Feet,"['Theo LeSieg', 'Dr. Seuss', 'Barney Tobey']",4.16,eng,64,8903,133
9780007173150,Oh  the Thinks You Can Think!,['Dr. Seuss'],4.13,eng,64,10604,255
9780007175192,Horton Hatches the Egg,['Dr. Seuss'],4.16,eng,64,35251,571
9780007175222,Oh Say Can You Say?,['Dr. Seuss'],4.01,eng,36,5726,157
9780007176151,Wild Swans: Three Daughters of China,['Jung Chang'],4.25,eng,666,1758,208
9780007177844,If I Don't Write It Nobody Else Will: An Autobiography,['Eric Sykes'],3.86,eng,512,23,2
9780007178483,Reading Lolita in Tehran,['Azar Nafisi'],3.6,eng,343,313,57
9780007178636,There's A Boy In The Girl's Bathroom,['Louis Sachar'],3.98,eng,208,174,15
9780007179732,The Monk Who Sold His Ferrari: A Fable about Fulfilling Your Dreams and Reaching Your Destiny,['Robin S. Sharma'],3.82,eng,241,721,90
9780007179817,Microserfs,['Douglas Coupland'],3.88,eng,371,436,37
9780007179824,Miss Wyoming,['Douglas Coupland'],3.48,eng,320,110,5
9780007182367,The Lord of the Rings (The Lord of the Rings  #1-3),['J.R.R. Tolkien'],4.49,eng,1178,131,6
9780007189953,Where Rainbows End,['Cecelia Ahern'],3.94,eng,454,642,109
9780007190683,Poirot: The Complete Ariadne Oliver  Vol. 2,['Agatha Christie'],4.2,eng,727,83,4
9780007191017,4.50 From Paddington (Miss Marple  #8),['Agatha Christie'],3.95,eng,352,41,3
9780007191925,The Art of the Lord of the Rings Trilogy,['Gary Russell'],4.52,eng,224,12,0
9780007194162,The Contortionist's Handbook,['Craig Clevenger'],3.97,eng,199,70,6
9780007195305,The Known World,['Edward P. Jones'],3.83,eng,388,437,85
9780007195718,Discover Your Destiny with The Monk Who Sold His Ferrari: The 7 Stages of Self-Awakening,['Robin S. Sharma'],3.9,eng,240,1956,132
9780007203130,Prodigal Son (Dean Koontz's Frankenstein  #1),"['Dean Koontz', 'Kevin J. Anderson']",4.02,eng,469,246,34
9780007203949,The Mandarins,['Simone de Beauvoir'],4.13,eng,752,3084,186
9780007204441,Naked Lunch: The Restored Text,['William S. Burroughs'],3.44,eng,289,478,62
9780007204465,Tropic of Cancer,['Henry Miller'],3.69,eng,336,709,87
9780007204496,Fear and Loathing in Las Vegas,"['Hunter S. Thompson', 'Ralph Steadman']",4.08,eng,230,3204,235
9780007205585,Close Range: Brokeback Mountain and Other stories,['Annie Proulx'],3.99,eng,318,466,65
9780007229574,Memoirs Of A Geisha,['Arthur Golden'],4.1,eng,3,24,5
9780007718726,Angela's Ashes,['Frank McCourt'],4.1,eng,224,705,64
9780020199854,The Love of the Last Tycoon,['F. Scott Fitzgerald'],3.65,eng,169,6836,367
9780020264736,The Song of Rhiannon,['Evangeline Walton'],4.02,eng,208,247,11
9780020360759,Heart Songs and Other Stories,['Annie Proulx'],3.93,eng,203,1822,120
9780020419709,Winter Cottage,['Carol Ryrie Brink'],4.15,eng,178,159,31
9780020421900,Seaward,['Susan Cooper'],3.96,eng,167,1700,68
9780020442608,The Voyage of the “Dawn Treader” (The Chronicles of Narnia  #3),"['C.S. Lewis', 'Pauline Baynes']",4.09,eng,216,2869,233
9780020442806,The Chronicles of Narnia,['C.S. Lewis'],4.26,eng,1425,1446,142
9780020518600,The Short Stories of Ernest Hemingway,['Ernest Hemingway'],4.26,eng,499,106,11
9780020867401,The Screwtape Letters,['C.S. Lewis'],4.22,eng,172,313,39
9780020868101,Mere Christianity,['C.S. Lewis'],4.32,eng,190,136,12
9780023464508,The Consolation of Philosophy,"['Boethius', 'Richard H. Green']",3.97,eng,160,182,20
9780023513206,Reason in History,"['Georg Wilhelm Friedrich Hegel', 'Robert S. Hartman']",3.64,eng,95,430,15
9780023895302,Nicomachean Ethics,"['Aristotle', 'Martin Ostwald']",3.93,eng,352,257,20
9780024021502,On Christian Doctrine,"['Augustine of Hippo', 'D.W. Robertson Jr.']",4.01,eng,191,2213,60
9780024181909,The Elements of Style,"['William Strunk Jr.', 'E.B. White']",4.2,eng,85,204,15
9780024266408,The Presocratics,['Philip Ellis Wheelwright'],4.04,eng,352,199,11
9780024277800,The Aeneid (Verse Translation),"['Virgil', 'Rolfe Humphries']",3.83,eng,368,19,2
9780024288103,Philosophical Investigations,"['Ludwig Wittgenstein', 'G.E.M. Anscombe']",4.23,eng,256,223,35
9780025006058,The MacMillan Bible Atlas,"['Yohanan Aharoni', 'Michael Avi', 'Yonah']",4.35,eng,215,14,2
9780026995016,Spandau: The Secret Diaries,['Albert Speer'],4.12,eng,463,6,2
9780027054903,The Rumble Seat Pony,['C.W. Anderson'],4.17,eng,46,24,0
9780027897500,The Journey With Grandmother,"['Edith Unnerstad', 'Claes Backstrom', 'Lilian Seaton']",3.75,eng,197,3,0
9780027905403,The Spettecake Holiday,"['Edith Unnerstad', 'Iben Clante', 'Inger Boye']",4.18,eng,211,33,9
9780028621302,Complete Idiot's Guide to The Beatles,"['Richard Buskin', 'Allan Kozinn']",3.75,eng,384,16,2
9780029131695,Tyranny of the Majority: Fundamental Fairness in Representative Democracy,"['Lani Guinier', 'Stephen L. Carter']",3.82,eng,352,39,1
9780029221303,The Origins of the Civil Rights Movements: Black Communities Organizing for Change,['Aldon D. Morris'],4.04,eng,368,145,13
9780029227961,Presidential Power and the Modern Presidents: The Politics of Leadership from Roosevelt to Reagan,['Richard E. Neustadt'],3.79,eng,384,277,17
9780030420566,Rest Rabbit Rest (Sweet Pickles  #18),"['Jacquelyn Reinach', 'Richard Hefter']",4.01,eng,32,88,5
9780030547744,Where the Red Fern Grows with Connections,"['Wilson Rawls', 'Rafe Martin', 'Borden Deal', 'Kemp P. Battle', 'Robert Bethke', 'Harold Courlander', 'Maya Angelou', 'Nicholasa Mohr', 'Dick Perry', 'John R. Erickson']",4.37,eng,288,95,4
9780030618338,Usher's Passing,['Robert R. McCammon'],3.9,eng,401,58,14
9780048231536,The Silmarillion,"['J.R.R. Tolkien', 'Christopher Tolkien']",3.91,eng,441,333,41
9780060000141,Poppy's Return,"['Avi', 'Brian Floca']",3.99,eng,256,1086,70
9780060001445,Her Highness  My Wife (Effingtons  #5),['Victoria Alexander'],3.66,eng,362,972,46
9780060001452,Love With the Proper Husband (Effingtons  #6),['Victoria Alexander'],3.84,eng,358,1446,59
9780060001537,Diary of a Spider,"['Doreen Cronin', 'Harry Bliss']",4.25,eng,40,7903,289
9780060001810,With Her Last Breath,['Cait London'],3.66,eng,384,112,11
9780060002053,On a Wicked Dawn (Cynster  #9),['Stephanie Laurens'],4.06,eng,448,5607,126
9780060002060,The Lady Chosen (Bastion Club  #1),['Stephanie Laurens'],3.98,eng,464,5572,187
9780060004507,An Old-Fashioned Thanksgiving,"['Louisa May Alcott', 'James Bernardin']",3.7,eng,32,599,77
9780060005429,Lirael (Abhorsen  #2),['Garth Nix'],4.3,eng,705,3325,351
9780060005696,The Paradox of Choice: Why More Is Less,['Barry Schwartz'],3.84,eng,265,23734,1157
9780060009427,How to Read Literature Like a Professor,['Thomas C. Foster'],3.65,eng,314,14917,1747
9780060010607,American Gods,['Neil Gaiman'],4.11,eng,635,1207,167
9780060011574,Animal Liberation,['Peter Singer'],4.23,eng,352,4933,335
9780060012342,The Amazing Maurice and His Educated Rodents (Discworld  #28),['Terry Pratchett'],4.05,eng,256,27463,907
9780060012380,The Wee Free Men (Discworld  #30; Tiffany Aching  #1),['Terry Pratchett'],4.27,eng,390,72982,2707
9780060013134,Going Postal (Discworld  #33),['Terry Pratchett'],4.38,eng,377,924,109
9780060014315,Kids Are Worth It!: Giving Your Child the Gift of Inner Discipline,['Barbara Coloroso'],4.19,eng,352,1157,120
9780060080839,After,['Francine Prose'],3.5,eng,352,1740,260
9780060081713,Mary Engelbreit's Mother Goose: One Hundred Best-Loved Verses,"['Mary Engelbreit', 'Leonard S. Marcus']",4.36,eng,128,537,50
9780060084387,The Modern Mind: An Intellectual History of the 20th Century,['Peter Watson'],4.27,eng,847,570,55
9780060084530,Sharpe's Prey (Sharpe  #5),['Bernard Cornwell'],4.04,eng,288,286,23
9780060085445,She Went All the Way,['Meg Cabot'],3.69,eng,357,12297,432
9780060085490,Island,['Aldous Huxley'],3.85,eng,354,17583,967
9780060086114,Savannah Blues,['Mary Kay Andrews'],3.98,eng,404,2,0
9780060086206,Planet of the Apes: The Fall,['William T. Quick'],3.22,eng,288,32,2
9780060086213,Planet of the Apes: Colony,['William T. Quick'],3.55,eng,288,22,1
9780060086244,Last Chance Saloon,['Marian Keyes'],3.8,eng,528,34586,669
9780060086633,Barracuda 945 (Admiral Arnold Morgan  #6),['Patrick Robinson'],3.96,eng,498,1082,26
9780060088743,A Year in the Life of William Shakespeare: 1599,['James Shapiro'],4.09,eng,333,2229,239
9780060090371,Lucy Sullivan Is Getting Married,['Marian Keyes'],3.76,eng,640,42096,664
9780060090388,Rachel's Holiday (Walsh Family  #2),['Marian Keyes'],3.94,eng,578,53411,1166
9780060092573,The Terminal Man,['Michael Crichton'],3.36,eng,266,20825,549
9780060092726,Criss Cross,['Lynne Rae Perkins'],3.34,eng,337,7562,1039
9780060093563,Madam  Will You Talk?,['Mary  Stewart'],4.04,eng,360,4292,280
9780060093747,The Art of the Novel,"['Milan Kundera', 'Linda Asher']",3.96,eng,176,3544,152
9780060094393,Razor's Edge (Dreamland  #3),"['Dale Brown', 'Jim DeFelice']",4.03,eng,420,492,8
9780060094416,Satan's Tail (Dreamland  #7),"['Dale Brown', 'Jim DeFelice']",4.0,eng,405,331,10
9780060094423,End Game (Dreamland  #8),"['Dale Brown', 'Jim DeFelice']",4.02,eng,432,320,7
9780060094935,The Bromeliad Trilogy (Omnibus: Truckers / Diggers / Wings),['Terry Pratchett'],4.06,eng,502,5681,189
9780060094966,Truckers (Bromeliad Trilogy  #1),['Terry Pratchett'],3.91,eng,261,7450,175
9780060095277,Fire Lover: A True Story,['Joseph Wambaugh'],3.7,eng,352,771,101
